id,nb_images,longueur_image,largeur_image,description_produit,taille,annee,couleur,prix,categorie,nom_produit,delai_vente
10,3,2200.0,2200.0,"Pantalon de ski Quechua avec bretelles réglables et amovibles. 
2 poches zippées devant, ceinture ajustable par scratch sur les côtés. 
Doublure élastiquée aux chevilles. 
Taille à plat 41 cm. Longueur totale 100 cm. Longueur entrejambes 72 cm.  
Très bon état. 
",40,,Noir,10.0,label selection,Pantalon ski Quechua Taille 40 ,0
11,4,1080.0,810.0,"<p><strong>Jupe Femme PROMOD</strong></p>
<p>Mi Longue - Plissée</p>
<p>Taille 42</p>
<p>Couleur Noire Argentée</p>
<p>Juste à Enfiler</p>
<p>Très Bon Etat</p>",42,,,6.0,mode,PROMOD - T42 ( ref.f103 ),2
12,3,3072.0,4608.0,"Lorsque vous offrez une bouteille de qualité, placez celle-ci dans un emballage en rapport avec la valeur que vous accordez à votre cadeau 
aspect bagagère ancienne, intérieur bois L,33 cm l, 14 cm h,13,5 cm   ",,,Marron,18.0,mobilier - deco,Coffret à Bouteille ,2
13,3,1536.0,1536.0,"Col en fourrure 100% lapin, gris violine. Dimensions : 64 cm x 14 cm. ",,,Gris,9.0,mode,,0
14,3,1536.0,1536.0,"Chemisier blanc à manches longues FATHER & SONS.  8 boutons sur le devant. 2 boutons aux poignets. Composition : 100% coton.
un chemisier blanc, un basic indispensable dans votre garde robe.",L,,Blanc,9.0,mode,,2
15,8,683.0,1024.0,"Fer à repasser de voyage vintage, livré dans son étui d’origine.
Conçu par des ingénieurs de haut vol,  ce fer à repasser multifonction
ne servait pas qu’à rendre votre linge plus lisse…
Livré sans le câble électrique.
Dimension de l’étui en cm : 15 x 12 x 4",,,,35.0,mobilier - deco,Fer à repasser des années 50,2
16,1,1100.0,1100.0,"Lampe en verre, en forme de ""fuseau"" jaune avec motif champêtre bleu en pied, intégrée dans un fourreau de tiges en  laiton avec motifs en forme de feuille.
",,,Jaune,20.0,mobilier - deco,Lampe esprit art nouveau,2
17,4,3000.0,4000.0,"anciennes lots à pharmacie,anciennes lots à pharmacie en porcelaine blanche en TBE.
hauteur: 30cm, diamètre: 13cm
Rad: Bistort  et Cominum ",,,Blanc,30.0,mobilier - deco,anciennes lots à pharmacie,0
18,5,2592.0,3888.0,"Très beau microscope avec plaque signe : AA stativ, E.Froelich
kassel.w n°3533
Dans sa boite d'origine en bois 
Hauteur totale 37 cm. 
Microscope en bon état. Boite en bois vieillissante  ",,,Multicolore,150.0,mobilier - deco,Microscope E.Froelich,0
19,6,1536.0,1536.0,Ensemble gilet et jupe vert kaki BEST COMPANY. Gilet ouvert sans manches avec un imprimé fleuri rose et bleu sur l'ensemble. Logo de la marque brodé sur le devant. Jupe évasée avec un élastique à la taille. Composition : 100% coton. Taille L.,L,,Kaki,12.0,mode,,0
20,3,920.0,1024.0,"Petit Miroir rond En Laiton  Doré  avec 2 poignées   .
Dimension  : 34 cm .",,,,12.0,mobilier - deco,Petit Miroir Doré ,2
21,4,3000.0,4000.0,"sac cabas idéal pour aller sur la plage ou pour mettre des magazines.. ou alors pour mettre ses ouvrages de tricots et de coutures
hauteur : 30 cm
largeur : 12 cm
longueur : 34 cm",,,Ecru,10.0,mode,Sac Cabas en osier vintage,0
22,1,207.0,250.0,"<p><strong>Livre d'occasion écrit par Mathew Price paru en 2001 aux éditions Milan Jeunesse<br/>Thème : JEUNESSE - Livres illustrés (+ de 3 ans).</strong></p><p>A propos de cet exemplaire de ""Petites histoires pour les tout-petits"": couverture cartonnée, format moyen , bon état.<br/>  Coins frottés. Code ISBN de référence pour ce livre : 9782841139781<br /></p><p><strong>Informations légales sur la vente de livres d'occasion sur Label Emmaüs :</strong> la photo de couverture présentée n'est pas contractuelle. Vous recevrez l'exemplaire disponible actuellement dans nos boutiques dans un délai de 5 à 8 jours. </p><p>En achetant ce livre d'occasion en ligne, vous soutenez l'insertion professionnelle et l'emploi au sein d'une librairie solidaire Emmaüs, ainsi que le réemploi de livres et la préservation de l'environnement.</p>",,2001.0,,2.0,librairie,Petites histoires pour les tout-petits - Mathew Price,2
23,1,385.0,250.0,"<p><strong>Livre d'occasion écrit par Nora Roberts paru en 2012 aux éditions Editions Harlequin<br/>Thème : LITTÉRATURE GÉNÉRALE - Romans - Romans étrangers.</strong></p><p>A propos de cet exemplaire de ""Dans l'ombre du mystère"": couverture souple, format poche , état acceptable.<br/>  Couverture légèrement abîmée. Code ISBN de référence pour ce livre : 9782280233804<br /></p><p><strong>Informations légales sur la vente de livres d'occasion sur Label Emmaüs :</strong> la photo de couverture présentée n'est pas contractuelle. Vous recevrez l'exemplaire disponible actuellement dans nos boutiques dans un délai de 5 à 8 jours. </p><p>En achetant ce livre d'occasion en ligne, vous soutenez l'insertion professionnelle et l'emploi au sein d'une librairie solidaire Emmaüs, ainsi que le réemploi de livres et la préservation de l'environnement.</p>",,2012.0,,1.2,librairie,Dans l'ombre du mystère - Nora Roberts,2
24,6,480.0,480.0,"Collux III le dernier développement LUXMETRE ET THERMOCOLORIMETRE.
Ancien instrument qui permet de mesuré rapidement et avec précision l'intensité lumineuse et la température de couleur des sources de lumière. 
Objet vintage en bon état vendu avec ces accessoires. ",,,Multicolore,20.0,culture - loisirs,LUXMETRE Collux III,0
25,3,2223.0,2908.0,"Superbe paire de chaussure de ville pour homme en cuir marron clair . Elles se porteront en apportant une touche d'élégance a votre tenue . Succès garantie ! Lacet , petit talon H 2 cm , bout carré et inscription sur semelle intérieur DDL PER MAX . La chaussure gauche présente un tout petit accro sur le devant . Idéal à porter lors de vos sorties .
Pointure 43 et demi .",,,Marron,15.0,label selection,"Chaussure de ville homme , cuir marron , pointure 43 et demi ",1
26,3,1536.0,2048.0,"Années 70, fabriquée en Belgique.",,,Orange,7.0,mobilier - deco,"Tupperware vintage, orange.",0
27,4,3300.0,2074.0,"Prenez un cours de grammaire comme à l'époque ! Livre datant de 1900 , 406 pages . Livre scolaire contenant des leçons sur les adjectifs , pronoms etc . Taché sur la couverture , jauni .",,1900.0,,4.0,librairie,La troisième année de grammaire 1900,2
28,2,3866.0,2057.0,"On craque  pour la douceur de ce gilet sans manche en fausse fourrure pour femme . Ce gilet qui se portera par dessus un pull ou un tee shirt à manches longues pour vous réchauffer est idéal par ce froid ! Fermeture éclair , deux poches . 
L 69 cm x l 49 cm 
",M,,Gris,8.0,mode,Gilet sans manche en fausse fourrure ,2
29,4,1000.0,1000.0,"Poupée japonaise en costume traditionnel, tête et mains en porcelaine sur socle en résine. Hauteur environ 30 cm",,,,10.0,mobilier - deco,Poupée japonaise,2
30,3,4407.0,2938.0,"les chants du bivouac par Théodore Botrel, refrains de guerre 1er série, 1er aout - 31 décembre 1914, 107 dessins à la plume de Carlegle.",,1915.0,,35.0,librairie,les chants du bivouac par Théodore Botrel,0
31,5,2448.0,2448.0,"Jupe patineuse saumon femme PIMKIE. 

- Empiècements. 
- Fermeture zippée au dos. 
- Forme évasée. 
- Motifs en relief. 
- Couleur saumon. 

Taille: L.
Matière: 95% polyester, 5% élasthanne. ",L,,Orange,4.0,mode,Jupe patineuse saumon femme PIMKIE ,0
32,1,2669.0,1691.0,"Jupe mi-longue fluide.
Tissu imprimé léopard.
Taille élastique.
Doublée.
Bas volanté.

Taille 44",44,,Multicolore,9.0,mode,Jupe Alain Manoukian,2
33,3,733.0,1100.0,"Cours de Géographie Foncin. Notions sommaires sur l’Europe et les grands pays du monde – Cours moyen, certificat d’études – Classe de 7ème des lycées et collèges. Par Elicio Colin, professeur de géographie au Lycée Saint-Louis, et Antonin Fraysse, inspecteur de l’enseignement primaire",,,,12.0,loisirs,La France et ses Colonies,2
34,5,1227.0,1416.0,Star Wars / Assault on Hoth  jeu vintage 1988 Pour 12 ans et + Paul Murphy,,,,20.0,enfance,Star Wars/Assault on Hoth,0
35,1,355.0,250.0,"<p><strong>Livre d'occasion écrit par Caroline Quine paru en 2007 aux éditions Hachette Roman<br>Thème : LITTÉRATURE GÉNÉRALE - Romans.</strong></p><p>A propos de cet exemplaire de ""Alice chercheuse d'or"": couverture souple, format poche , état acceptable.<br> . Code ISBN de référence pour ce livre : 9782012014046<br></p><p><strong>Informations légales sur la vente de livres d'occasion sur Label Emmaüs :</strong> la photo de couverture présentée n'est pas contractuelle. Vous recevrez l'exemplaire disponible actuellement dans nos boutiques dans un délai de 5 à 8 jours. </p><p>En achetant ce livre d'occasion en ligne, vous soutenez l'insertion professionnelle et l'emploi au sein d'une librairie solidaire Emmaüs, ainsi que le réemploi de livres et la préservation de l'environnement.</p>",,2007.0,,3.1,librairie,Alice chercheuse d'or - Caroline Quine,1
36,6,600.0,600.0,"Ancien appareil photo argentique EXA 1a avec objectif  Carl Zeiss Jena .
Appareil non teste et vendu en l'etat",,,,20.0,loisirs,Appareil photo argentique EXA .Ia,1
37,3,2448.0,2448.0,"Écharpe à motifs Princes de Galles grande marque.
Un grand classique 
La légendaire écharpe de grande marque.
100 % cachemire  avec franges
Couleur  : camel / noir / rouge 
Dimensions : Longueur 150 X  Largeur 26 cm
Pour vous Messieurs 
Pour vous Mesdames !!! 
En vente ici sur labelEmmaus.  ",TU,,Multicolore,5.0,mode,Écharpe à motifs Princes de Galles grande marque ,0
38,5,2448.0,2448.0,"Maillot bicolore T4 ans ADIDAS. 

- Col cranté. 
- Manches courtes. 
- Coupe droite. 
- Bicolore. 
- Surpiqûres ton sur ton. 
- Marque imprimée sur la partie avant et au dos du maillot. 

Taille : 4 ans. 
Matière : 100% polyester.",,,Bleu,5.0,enfance,Maillot bicolore T4 ans ADIDAS ,1
39,6,2551.0,2017.0,"Appareil photo de la marque Polaroid , modèle Pronto 600 . Vendu en l'état car non testé mais l'appareil en lui même est correct . Carton d'origine et mode d'emploi . 
Format = 14,5 x 12,5 x 9 cm .",,,Noir,10.0,loisirs,"Polaroid Pronto 600 , en l'état ",0
40,6,2448.0,2448.0,"Pull vert feuillage effet argenté pour femme de la marque PROMOD. 

Taille : non renseignée, nous estimons une taille 40/42. 
Matière : non renseignée. 
Colorie : vert feuillage reflet argenté. 

Description des détails : 
Manches longues, col rond, fermeture boutonnée au dos, ouverture goutte d'eau au dos, coupe court.

Conseils mode pratique : 
A porter avec un jean noir et des bottes. ",40,,Vert,4.0,mode,Pull vert feuillage effet argenté pour femme de la marque PROMOD ,1
41,8,2619.0,2248.0,"Ancien coffret médical Vitalis dont nous ne connaissons pas l'utilité . Un connaisseur / collectionneur trouvera en celui-ci son bonheur . Il manque quelques accessoires , le coffret est abîmé , trace de rouille ainsi que la poignée . Il est donc vendu en l'état . 
Format 30 x 27 x 15 .",,,Multicolore,30.0,mobilier - deco,Coffret médical Vitalis ,1
42,3,3501.0,2071.0,"Chemisier court motifs pois, à manches courtes.
Décolleté en V, suivi d'une boutonnière ton sur ton.
Lien à nouer en bas.
Fronces aux épaules.
Superbe pièce vintage !

Taille 38
Fabriqué en France",38,,Bleu,9.0,mode,Chemisier à nouer,1
43,4,2260.0,2779.0,"Pot en étain/ Porte déjeuner. Poinçons.
Hauteur 15cm. Largeur 20cm.",,,,50.0,mobilier - deco,Pot en étain,1
44,11,2448.0,2448.0,"Vous allez faire forte impression, avec ce bel ensemble vintage, à l'allure d'une tenue marine d'époque !  

Jupe culotte 
Taille élastiquée 
Plissée 

Chemisier 
Manches longues 
Col claudine revisité 
Fermeture boutonnée 
Doublée 

Composition 
65% Polyester 35% coton

Taille 36 
Bleu marine  ",36,,Bleu,30.0,mode,Ensemble marin vintage pour femme CACHAREL ,1
45,3,900.0,675.0,"<p><strong>Robe Sans Manches Femme VERO MODA</strong></p>
<p>Taille 38</p>
<p>Couleur Kaki</p>
<p>Neuve avec Étiquette</p>",38,,Kaki,6.0,mode,VERO MODA - T38 ( ref.d51 ),2
46,5,2448.0,2448.0,"Sandales compensées en cuir rouge femme MINELLI. 

- Bout des pieds apparents. 
- Matière croisée. 
- Surpiqûres ton sur ton. 
- Matière élastique à l’arrière du pied. 
- Taille du talon: 8 cm env. 

Pointure: 40. 
",,,Rouge,15.0,label selection,Sandales compensées en cuir rouge femme MINELLI ,0
47,3,1024.0,487.0,"Cabine Téléphonique  en Bois ""Range DVD""  Style Anglais petit Meuble  de rangement en forme de tour , pour Vos Cd , DvD , elle peut aussi servir au rangement de  petits Livres.
Dimension en cm :  91 x 21 x 21 ",,,,38.0,mobilier - deco,"Cabine Téléphonique ""Range DVD"" ",0
48,3,900.0,675.0,"<p><strong>Veste Trench Femme PROMOD</strong></p>
<p>Taille 34</p>
<p>Couleur Beige</p>",34,,Ecru,10.0,mode,PROMOD - T34 ( ref.j21 ),1
49,6,2448.0,2448.0,"Duo poupées style années 20

Dimensions : 63 cm
Plastique et tissu

Un duo de poupées originales. Tenues années 20, travail sur les accessoires et détails.
Ces deux jeunes femmes nous font remonter le temps à l'époque de Charleston, les années folles ! 

On irait bien en leur compagnie admirer une spectacle de Joséphine Baker aux Folies Bergère à Paris !",,,Blanc,15.0,label selection,Duo poupées style années 20,0
50,3,2325.0,2267.0,"Jolie livre ancien de partition ""Le désir"" pour tout collectionneur de vieux livre ou un passionné de musique piano. Contient 8 pages 35.5 cm de hauteur 27 cm de large.",,,Multicolore,4.0,librairie,"Le désir ""partition""",2
51,2,475.0,295.0,"<p><strong>Livre d'occasion écrit par Jonas Jonasson paru en 2016 aux éditions Presses De La Cité<br>Thème : LITTÉRATURE GÉNÉRALE - Romans - Romans étrangers.</strong></p><p>A propos de cet exemplaire de ""L'Assassin qui rêvait d'une place au paradis"": couverture souple, format moyen , bon état.<br>  Couverture légèrement déchirée. Code ISBN de référence pour ce livre : 9782258133532<br></p><p><strong>Informations légales sur la vente de livres d'occasion sur Label Emmaüs :</strong> la photo de couverture présentée n'est pas contractuelle. Vous recevrez l'exemplaire disponible actuellement dans nos boutiques dans un délai de 5 à 8 jours. </p><p>En achetant ce livre d'occasion en ligne, vous soutenez l'insertion professionnelle et l'emploi au sein d'une librairie solidaire Emmaüs, ainsi que le réemploi de livres et la préservation de l'environnement.</p>",,2016.0,,3.0,librairie,L'Assassin qui rêvait d'une place au paradis - Jonas Jonasson,0
52,2,2304.0,3072.0,"Sel et poivre
Cerclage argenté",,,,10.0,mobilier - deco,Sel et Poivre,2
53,3,2283.0,768.0,"Pantalon droit en denim blanc.
5 poches.
Zips décoratifs au bas des jambes.
Légère trace noire (poussière) au bas de la jambe droite, mais qui part au lavage.

Taille 36",36,,Blanc,10.0,mode,,1
54,4,1100.0,1100.0,"Copie d'ancien moulin à café de comptoir sur socle en bois, en état de marche. Ø 29x25 cm,
",,,,15.0,mobilier - deco,Ancien moulin à café de comptoir (Copie),2
55,4,1536.0,1536.0,"Écharpe rectangle rose SHIRAI. Imprimé fleuri. 
Dimensions : L 175 cm x l 52 cm.
Composition : 100% soie.
Cette écharpe est très agréable et facile à porter autour du cou ou sur les épaules, au gré de vos envies.",,,Rose,15.0,mode,,1
56,2,665.0,1024.0,"Tunis, collège Ladiki – 21 mai 1912",,,,3.0,loisirs,Carte postale 40,1
57,1,1100.0,1100.0,"Deux plateaux (réversible), 
-pour le jeu de dames avec ses pions, 
-pour le jeu d'échecs sans les pièces, 
dimensions standard: 35x44 cm, matière en bois, 
avec sa couleur d'usage du temps.",,,,9.0,label selection,Jeu de dames en bois ancien,0
58,11,3072.0,4608.0,"Lot de 6 assiettes et 1 plateau en porcelaine de Obernai Faïenceries Sarreguemines.
Le décor est garanti inaltérable et résistant au lave-vaisselle.
L'une des assiettes est un peu abimées sur le coté.

Dimensions: 27 x 11 x 2 cm pour le plateau et 27 à 21 cm de diamètres pour les assiettes
Poids: 2,333 kilogrammes",,,Multicolore,33.0,mobilier - deco,Lot de 6 assiettes et 1 plateau en porcelaine de Obernai Faïenceries Sarreguemines ,2
59,6,2448.0,2448.0,"Blouse motifs aztèque femme T46. 

- Col V orné de deux lacets à pompons cuivre. 
- Matière fluide et agréable à porter. 
- Manches 3/4 élastique. 
- Motifs aztèque. 
- Coupe droite. 

Taille: 46. 
Matière: 100% viscose. ",46,,Multicolore,4.0,label selection,Blouse motifs aztèques femme T46 ,1
60,4,2448.0,2448.0,"Ce jegging pour femme sait se montrer irrésistible. On l'adore pour sa taille haute et sa fermeture zippée sur le côté droit. On le porte avec un débardeur ample et des escarpins pour mettre en valeur sa silhouette.
- Jegging uni bleu jean 
- Taille haute
- Coton mélangé 99% coton 1% élasthanne 
Taille 36",36,,Bleu,4.0,mode,Jegging femme en jean taille haute H&M ,0
61,1,616.0,616.0,"<p><strong>Livre d'occasion écrit par Bonnier Gaston / Layens Georges De paru en 1964 aux éditions Librairie Generale De L'Enseignement.</strong></p><p>A propos de cet exemplaire de ""Flore complète portative de la France de la Suisse et de la Belgique"": couverture souple, format moyen , bon état.<br/> Rousseurs sur les pages de garde et sur les tranches.</p><p><strong>Informations légales sur la vente de livres d'occasion sur Label Emmaüs :</strong> la photo de couverture présentée n'est pas contractuelle. Vous recevrez l'exemplaire disponible actuellement dans nos boutiques dans un délai de 5 à 8 jours. </p><p>En achetant ce livre d'occasion en ligne, vous soutenez l'insertion professionnelle et l'emploi au sein d'une librairie solidaire Emmaüs, ainsi que le réemploi de livres et la préservation de l'environnement.</p>",,1964.0,,14.2,librairie,Flore complète portative de la France de la Suisse et de la Belgique - Bonnier Gaston / Layens Georges De,2
62,3,2963.0,2963.0,copie de broc de toilette année 50 motif floral pensées,,,,10.0,mobilier - deco,broc de toilette,2
63,6,2234.0,2804.0,"Ancien appareil photo avec sacoche Zeiss Ikon . Vendu en l'état , idéal pour collectionneur . Très abîmé . Inscription Zeiss Ikon et Super tonka .
Format = 18 x 10 x 5 cm .",,,Marron,10.0,loisirs,Ancien appareil photo avec sacoche Zeiss Ikon,0
64,6,980.0,980.0,"4x Verres en Cristal de Baccarat
en très bon état.
Tampon de l'usine sur les verres visible sur la dernière photo

Hauteur: 11.5 cm.",,,Blanc,25.0,mobilier - deco,4x Verres en Cristal du Baccarat,2
65,4,1100.0,1100.0,"Montmartre : daté et signé 1983, du peintre suisse Henri Moreillon représentant une vue de la place du Tertre situé sur la butte Montmartre à Paris, avec en vue la célèbre basilique du Sacré-Cœur. Tableau dédicacé au verso, par le peintre à sa femme Renée (1983). Ø 64x93 cm avec cadre

A récupérer en magasin.",,,,99.0,mobilier - deco,"Peinture ""Montmartre "" d'Henri Moreillon",2
66,4,2448.0,2448.0,"Petite sacoche pour téléphone portable pour homme. 

Dimensions sans la bandoulière : 16 x 13 cm environs.
Matière : non renseignée. 
Coloris : marron. 

bandoulière réglable fixe, 3 poches zippées dont une pour le téléphone portable, sacoche petit format. 

",,,Marron,6.0,mode,Petite sacoche pour téléphone portable pour homme ,0
67,6,2448.0,2448.0,"Gilet écru en maille fine femme PALME. 

- Fermeture boutonnée. 
- Col V. 
- Manches longues élastique aux bout des manches. 
- Matière légère et agréable à porter. 
- Effet plissé sur le haut du gilet. 
- Base doublée d'un tissu en maille fine brodé. 

Taille: M/L. 
Matière: 100% polyester. Maille: 100% polyamide. Broderie: 100% coton. ",M,,Ecru,4.0,mode,Gilet écru en maille fine femme PALME  ,0
68,4,4608.0,3072.0,"Grand chat de décoration en céramique blanche.

Dimensions: 21 x 9 x 24 cm
Poids: 656 grammes",,,Blanc,12.0,mobilier - deco,Grand chat de décoration en céramique blanche,0
69,6,2448.0,2448.0,"Robe originale multicolore LULU.H. 

- Col rond. 
- Manches longues et transparentes. 
- Motifs style baroque sur les manches. 
- Maille jersey sur la partie avant de la robe; 
- Multicolore. 
- Entièrement doublée d'un tissu noir. 

Taille : M. 
Matière : 90% viscose, 5% élasthanne, 5% laine. Doublure : 100% polyester. ",M,,Multicolore,6.0,mode,Robe originale multicolore LULU.H,1
70,5,1536.0,1536.0,Robe rose femme Jacqueline Riu. Idéal pour une soirée ou une cérémonie. Peut se porter en bustier ou avec des bretelles. Fermeture éclair sur le côté. Composition : 100% polyester et doublure : 100% polyester. Taille 38.,38,,Rose,13.0,mode,,2
71,3,1100.0,1100.0,"Paire de taies d'oreiller en lin, couleur kaki, 
brodée de magnifiques anagrammes couleur blanche, 
neuves, dimensions: env 40 x 80 cm.",,,,28.0,mobilier - deco,Paire de taies d'oreiller en lin,0
72,3,900.0,675.0,"<p><strong>Pantalon Femme MEXX</strong></p>
<p>Taille 38</p>
<p>Couleur Marron</p>",38,,Marron,3.5,mode,MEXX - T38 ( ref.g19 ),2
73,5,3000.0,4000.0,"chapeau melon en bon état a marque DMC.
loup 30 cm, largeur 25 cm, tour de tête 56.
 intérieur  cuir avec initiales ancien papietoire.  
 ",,,Noir,30.0,mode,chapeau Melon ancien marque  DMC vintage,0
74,4,728.0,800.0,"- modèle professionnel
- couture en nylon 
- main gauche
- cuir 
- marque: Chatillon   ",,,Marron,15.0,mode,Gant de Baseball,2
75,6,2448.0,2448.0,"Soupière bleue et blanche en faïence polychrome signée Henriot Quimper, entièrement décorée main.

Hauteur : 15,5 cm
Diamètre au plus large :  17 cm",,,Bleu,12.0,mobilier - deco,Soupière - Henriot Quimper,2
76,3,2860.0,2729.0,"Poncho pull noir en panne de velours avec bordures rouges et blanches.
Col droit avec un galon fantaisie brodé.
Taille unique / longueur 75 cm.
Création unique ""Le Léopard By François""

Superposez ce poncho élégant à votre tenue pour y ajouter une touche d'originalité. Confortable et cosy, cet hybride mode gagne à être porté avec des tenues près du corps.
Résolument rétro, il se fait chic. 
N'hésitez pas à l'adopter pour les fêtes de fin d'année.

Lavage à froid ou nettoyage à sec",TU,,Noir,30.0,mode,Poncho pull noir en panne de velours avec bordures rouges et blanches,1
77,3,1536.0,1536.0,"Boléro COLINE. Multicolore. Motifs ethnique de différentes couleurs et formes en relief. Intérieur en polaire.
Taille M. Composition : 100% polyester.",M,,Multicolore,9.0,label selection,,0
78,1,1100.0,1100.0,"Film 8 mm N&B, muet,
marque: FilmOffice
auteur: Charlie Chaplin, 
diamètre de bobine: 7,4 cm.",,,,10.0,loisirs,"Laurel & Hardy As du Volant, en film 8 mm",1
79,1,245.0,197.0,"<p><strong>Livre d'occasion écrit par Toone Orsola Guern paru en 2004 aux éditions Fleurus<br>Thème : LIVRES PRATIQUES - Activités manuelles - Loisirs créatifs.</strong></p><p>A propos de cet exemplaire de ""La mosaïque : Techniques et créations"": couverture cartonnée, format moyen , très bon état.<br>  Un tampon en page de garde. Code ISBN de référence pour ce livre : 9782215074670<br></p><p><strong>Informations légales sur la vente de livres d'occasion sur Label Emmaüs :</strong> la photo de couverture présentée n'est pas contractuelle. Vous recevrez l'exemplaire disponible actuellement dans nos boutiques dans un délai de 5 à 8 jours. </p><p>En achetant ce livre d'occasion en ligne, vous soutenez l'insertion professionnelle et l'emploi au sein d'une librairie solidaire Emmaüs, ainsi que le réemploi de livres et la préservation de l'environnement.</p>",,2004.0,,7.5,librairie,La mosaïque : Techniques et créations - Toone Orsola Guern,0
80,8,3072.0,4608.0,Lot de 12 Figurines en métal de marque Rakham pour le jeu de confrontation. 11 Guerriers Wolfen et 1 élémentaire. 4 figurines ont des éléments à ré-assembler.,,,Multicolore,40.0,enfance,Lot de 12 Figurines Rakham,1
81,3,1424.0,1575.0,"Très beau sceau à champagne de la marque Delamotte, 20x16",,,Argenté,20.0,mobilier - deco,Sceau à champagne,0
82,3,1080.0,810.0,"<p><strong>T-Shirt Femme NAF NAF </strong></p>
<p>Manches Longues</p>
<p>Taille Unique</p>
<p>Couleur Noir - Imprimé Écritures Blanches</p>
<p>100% Coton</p>
<p>Bon Etat</p>",TU,,,5.0,mode,NAF NAF - T.U ( ref.b134 ),2
83,1,592.0,400.0,"<p><strong>Livre d'occasion écrit par Ed Mccarthy Mary Ewing-Mulligan paru en 2008 aux éditions Editions First<br>Thème : LIVRES PRATIQUES - Boissons - Vins, champagne.</strong></p><p>A propos de cet exemplaire de ""Le Vin pour les Nuls"": couverture souple, format moyen , bon état.<br>  Tranche légèrement tâchée. Code ISBN de référence pour ce livre : 9782754000871<br></p><p><strong>Informations légales sur la vente de livres d'occasion sur Label Emmaüs :</strong> la photo de couverture présentée n'est pas contractuelle. Vous recevrez l'exemplaire disponible actuellement dans nos boutiques dans un délai de 5 à 8 jours. </p><p>En achetant ce livre d'occasion en ligne, vous soutenez l'insertion professionnelle et l'emploi au sein d'une librairie solidaire Emmaüs, ainsi que le réemploi de livres et la préservation de l'environnement.</p>",,2008.0,,7.0,librairie,Le Vin pour les Nuls - Ed Mccarthy Mary Ewing-Mulligan,0
